buy_hold_return,episodes,feature_rows,final_training_reward,first_close,first_date,last_close,last_date,max_drawdown,name,prediction,q_buy,q_hold,q_sell,rows,sector,sharpe_ratio,status,ticker,total_return,trade_count,win_rate
0.8650933559905061,3,737,-3.0162539331696854,75.0875015258789,2020-01-02,129.92999267578125,2022-12-30,-0.30751055041214487,Apple,BUY,0.23831647634506226,0.23642197251319885,0.22484281659126282,756,Technology,0.888010235847861,ok,AAPL,0.9201907073331592,9,0.4745042492917847
1.4253446120647326,3,737,-2.79353634899467,5.9977498054504395,2020-01-02,14.61400032043457,2022-12-30,-0.35209451878130965,NVIDIA,HOLD,0.40781182050704956,0.4528616964817047,0.44564804434776306,756,Semiconductors / AI,1.8983207682626488,ok,NVDA,6.608123842768222,250,0.31728045325779036
-0.1343443774279276,3,737,-3.9085162994306213,32.98099899291992,2020-01-02,29.488000869750977,2022-12-30,-0.7248063641051202,Netflix,HOLD,0.37333276867866516,0.3814360201358795,0.36392489075660706,756,Streaming media,0.17552325464112614,ok,NFLX,-0.09661131570509152,23,0.3413597733711048
-0.29375145056172025,3,737,-3.6554837290878166,209.77999877929688,2020-01-02,120.33999633789062,2022-12-30,-0.736837695779762,Meta Platforms,HOLD,0.28989893198013306,0.29315927624702454,0.27166005969047546,756,Social media,0.0836591723494572,ok,META,-0.1689128512116912,77,0.4206798866855524
0.42373381855661796,3,737,-2.946974692281661,324.8699951171875,2020-01-02,382.42999267578125,2022-12-30,-0.09640143932218494,S&P 500 ETF,BUY,0.3038586974143982,0.3031873106956482,0.2987954914569855,756,Market ETF,2.0071355419975774,ok,SPY,1.391260168639774,178,0.2237960339943343
-0.056806719269739236,3,737,-3.6531465123239015,94.90049743652344,2020-01-02,84.0,2022-12-30,-0.46937555823715055,Amazon,HOLD,0.2798730134963989,0.2817263901233673,0.27323007583618164,756,E-commerce / cloud,0.4958134149827044,ok,AMZN,0.37857028367245715,53,0.443342776203966
0.5013266264612704,3,737,-2.942249992999508,200.7899932861328,2020-01-02,263.5299987792969,2022-12-30,-0.07670549510601778,McDonald's,HOLD,0.18049734830856323,0.18366047739982605,0.1844717413187027,756,Consumer staples / restaurants,0.514385861301214,ok,MCD,0.1662133276747837,6,0.007082152974504249
0.31937279043484557,3,737,-2.979244957502116,54.9900016784668,2020-01-02,63.61000061035156,2022-12-30,-0.1782747033768974,Coca-Cola,BUY,0.24436962604522705,0.2322041094303131,0.23061683773994446,756,Consumer staples,1.8672484816252533,ok,KO,1.647271189113913,236,0.4235127478753541
1.6439949863977827,3,737,-3.6239645155891025,49.439998626708984,2020-01-02,105.29000091552734,2022-12-30,-0.6590490429713076,CrowdStrike,BUY,0.4463097155094147,0.4368477463722229,0.4385911822319031,756,Cybersecurity,0.8650523704857311,ok,CRWD,1.563666550740614,5,0.5042492917847026
0.6539840976825038,3,737,-3.0074083273286965,37.13472366333008,2020-01-02,51.2400016784668,2022-12-30,-0.19745981198560905,Pfizer,BUY,0.2979196310043335,0.27620595693588257,0.28350281715393066,756,Healthcare / pharmaceuticals,1.6786887488953652,ok,PFE,1.3866159744719941,99,0.21388101983002833
